season,round,circuit_id,date,url,driver,date_of_birth,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,kvyat,1994-04-26,Russian,toro_rosso,9,9,1.0,0.0,16.0,4.0,0.0,9.0,1:17.573
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,grosjean,1986-04-17,French,haas,7,10,0.0,0.0,18.0,8.0,0.0,8.0,1:16.911
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,albon,1996-03-23,Thai,toro_rosso,11,11,3.0,0.0,15.0,4.0,0.0,9.0,1:17.445
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,ricciardo,1989-07-01,Australian,renault,13,12,6.0,0.0,13.0,12.0,0.0,7.0,1:18.106
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,raikkonen,1979-10-17,Finnish,alfa,14,14,13.0,0.0,8.0,13.0,0.0,6.0,1:17.788
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,perez,1990-01-26,Mexican,racing_point,15,15,13.0,0.0,6.0,17.0,0.0,5.0,1:17.886
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,giovinazzi,1993-12-14,Italian,alfa,18,16,0.0,0.0,17.0,13.0,0.0,6.0,1:18.664
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,russell,1998-02-15,British,williams,19,17,0.0,0.0,19.0,0.0,0.0,10.0,1:19.072
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,kubica,1984-12-07,Polish,williams,17,18,0.0,0.0,20.0,0.0,0.0,10.0,1:20.254
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,stroll,1998-10-29,Canadian,racing_point,16,19,4.0,0.0,14.0,17.0,0.0,5.0,1:18.471
2019,5,catalunya,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,norris,1999-11-13,British,mclaren,10,20,12.0,0.0,9.0,18.0,0.0,4.0,1:17.338
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,hamilton,1985-01-07,British,mercedes,1,1,112.0,3.0,1.0,217.0,5.0,1.0,1:10.166
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,vettel,1987-07-03,German,ferrari,4,2,64.0,0.0,4.0,121.0,0.0,2.0,1:10.947
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,bottas,1989-08-28,Finnish,mercedes,2,3,105.0,2.0,2.0,217.0,5.0,1.0,1:10.252
